epoch,train_loss,val_loss,val_auroc,val_auprc
1,0.084125,0.065138,0.826160,0.177981
2,0.074401,0.060681,0.852647,0.256437
3,0.071906,0.060647,0.856850,0.270518
4,0.070672,0.059080,0.858199,0.270742
5,0.069748,0.059021,0.860537,0.279643
6,0.068949,0.059043,0.859781,0.259955
7,0.068239,0.058978,0.862979,0.269314
8,0.067547,0.058558,0.865072,0.272493
9,0.067024,0.058206,0.866677,0.275116
10,0.066464,0.058127,0.868725,0.283242
11,0.066026,0.057649,0.870305,0.282490
12,0.065604,0.059073,0.868727,0.280784
13,0.065260,0.058850,0.870453,0.272202
14,0.064852,0.058205,0.873462,0.279950
15,0.064585,0.057792,0.872903,0.279291
16,0.063022,0.057734,0.875514,0.272766
17,0.062430,0.057637,0.877161,0.279626
18,0.062039,0.057129,0.880436,0.282988
19,0.061724,0.057137,0.882256,0.280808
20,0.061425,0.057304,0.880665,0.284612
21,0.061169,0.057255,0.881269,0.284967
22,0.060962,0.057555,0.881258,0.281567
23,0.060135,0.057183,0.881406,0.280502
24,0.059826,0.057198,0.882218,0.282928
25,0.059641,0.056818,0.883794,0.283232
26,0.059448,0.057173,0.883567,0.282717
27,0.059305,0.056979,0.884229,0.289632
28,0.059190,0.056990,0.884441,0.288488
29,0.059008,0.057213,0.884560,0.284482
30,0.058579,0.057173,0.883909,0.284742
31,0.058449,0.056973,0.884547,0.288936
32,0.058346,0.057129,0.884960,0.287838
33,0.058252,0.056712,0.886017,0.293383
34,0.058191,0.056928,0.885726,0.292086
35,0.058071,0.056816,0.885701,0.289200
36,0.058001,0.056983,0.886473,0.292186
37,0.057913,0.056801,0.886276,0.292014
38,0.057735,0.056805,0.886590,0.290979
39,0.057632,0.056733,0.886488,0.293161
40,0.057597,0.056710,0.886968,0.294708
41,0.057546,0.056780,0.886216,0.293295
42,0.057476,0.056727,0.886702,0.294553
43,0.057421,0.056681,0.886761,0.293417
44,0.057364,0.056762,0.886337,0.294030
45,0.057380,0.056767,0.886775,0.294450
46,0.057301,0.056725,0.886855,0.294505
47,0.057275,0.056626,0.887464,0.296654
48,0.057266,0.056640,0.887147,0.296352
49,0.057247,0.056655,0.886891,0.296345
50,0.057214,0.056719,0.886769,0.296688
51,0.057172,0.056704,0.886683,0.296708
52,0.057165,0.056664,0.886917,0.296387
53,0.057116,0.056691,0.886927,0.295562
54,0.057117,0.056657,0.887035,0.296025
55,0.057074,0.056605,0.886870,0.295669
56,0.057091,0.056665,0.886665,0.296018
57,0.057048,0.056687,0.886790,0.296106
58,0.057085,0.056712,0.886786,0.296103
59,0.057014,0.056753,0.886760,0.294777
60,0.057044,0.056672,0.886802,0.296142
